"STATION","NAME","DATE","PRCP","TAVG"
"ASN00009021","PERTH AIRPORT, AS","1958-06","65.3","13.6"
"ASN00009021","PERTH AIRPORT, AS","1958-07","446.7","12.0"
"ASN00009021","PERTH AIRPORT, AS","1958-08","48.8","12.2"
"ASN00009021","PERTH AIRPORT, AS","1958-09","33.4","13.5"
"ASN00009021","PERTH AIRPORT, AS","1958-10","71.2","14.9"
"ASN00009021","PERTH AIRPORT, AS","1958-11","15.2","20.1"
"ASN00009021","PERTH AIRPORT, AS","1958-12","9.9","24.0"
"ASN00009021","PERTH AIRPORT, AS","1959-01","4.1","23.2"
"ASN00009021","PERTH AIRPORT, AS","1959-02","3.4","24.4"
"ASN00009021","PERTH AIRPORT, AS","1959-03","12.2","23.3"
"ASN00009021","PERTH AIRPORT, AS","1959-04","28.3","18.1"
"ASN00009021","PERTH AIRPORT, AS","1959-05","33.7","16.8"
"ASN00009021","PERTH AIRPORT, AS","1959-06","197.7","14.9"
"ASN00009021","PERTH AIRPORT, AS","1959-07","63.8","14.3"
"ASN00009021","PERTH AIRPORT, AS","1959-08","123.6","14.3"
"ASN00009021","PERTH AIRPORT, AS","1959-09","28.7","14.9"
"ASN00009021","PERTH AIRPORT, AS","1959-10","60.5","15.9"
"ASN00009021","PERTH AIRPORT, AS","1959-11","31.1","19.3"
"ASN00009021","PERTH AIRPORT, AS","1959-12","13.8","20.8"
"ASN00009021","PERTH AIRPORT, AS","1960-01","22.9","21.5"
"ASN00009021","PERTH AIRPORT, AS","1960-02","7.2","24.3"
"ASN00009021","PERTH AIRPORT, AS","1960-03","54.8","20.2"
"ASN00009021","PERTH AIRPORT, AS","1960-04","23.2","16.9"
"ASN00009021","PERTH AIRPORT, AS","1960-05","144.6","13.5"
"ASN00009021","PERTH AIRPORT, AS","1960-06","124.2","12.5"
"ASN00009021","PERTH AIRPORT, AS","1960-07","195.5","11.6"
"ASN00009021","PERTH AIRPORT, AS","1960-08","53.9","11.4"
"ASN00009021","PERTH AIRPORT, AS","1960-09","66.8","13.6"
"ASN00009021","PERTH AIRPORT, AS","1960-10","23.1","16.6"
"ASN00009021","PERTH AIRPORT, AS","1960-11","6.9","19.1"
"ASN00009021","PERTH AIRPORT, AS","1960-12","8.4","22.8"
"ASN00009021","PERTH AIRPORT, AS","1961-01","11.0","26.6"
"ASN00009021","PERTH AIRPORT, AS","1961-02","5.5","25.0"
"ASN00009021","PERTH AIRPORT, AS","1961-03","43.4","22.8"
"ASN00009021","PERTH AIRPORT, AS","1961-04","95.5","17.0"
"ASN00009021","PERTH AIRPORT, AS","1961-05","48.5","15.9"
"ASN00009021","PERTH AIRPORT, AS","1961-06","192.1","13.6"
"ASN00009021","PERTH AIRPORT, AS","1961-07","161.3","12.1"
"ASN00009021","PERTH AIRPORT, AS","1961-08","161.2","13.0"
"ASN00009021","PERTH AIRPORT, AS","1961-09","57.7","15.5"
"ASN00009021","PERTH AIRPORT, AS","1961-10","36.1","16.8"
"ASN00009021","PERTH AIRPORT, AS","1961-11","2.0","19.8"
"ASN00009021","PERTH AIRPORT, AS","1961-12","15.8","22.5"
"ASN00009021","PERTH AIRPORT, AS","1962-01","0.8","27.6"
"ASN00009021","PERTH AIRPORT, AS","1962-02","4.4","24.7"
"ASN00009021","PERTH AIRPORT, AS","1962-03","0.0","20.8"
"ASN00009021","PERTH AIRPORT, AS","1962-04","12.5","20.7"
"ASN00009021","PERTH AIRPORT, AS","1962-05","170.6","17.8"
"ASN00009021","PERTH AIRPORT, AS","1962-06","169.6","14.5"
"ASN00009021","PERTH AIRPORT, AS","1962-07","172.5","11.9"
"ASN00009021","PERTH AIRPORT, AS","1962-08","76.2","13.5"
"ASN00009021","PERTH AIRPORT, AS","1962-09","56.6","14.1"
"ASN00009021","PERTH AIRPORT, AS","1962-10","47.9","14.5"
"ASN00009021","PERTH AIRPORT, AS","1962-11","45.8","18.9"
"ASN00009021","PERTH AIRPORT, AS","1962-12","13.8","23.5"
"ASN00009021","PERTH AIRPORT, AS","1963-01","10.9","24.8"
"ASN00009021","PERTH AIRPORT, AS","1963-02","14.5","25.0"
"ASN00009021","PERTH AIRPORT, AS","1963-03","18.7","24.2"
"ASN00009021","PERTH AIRPORT, AS","1963-04","50.8","19.6"
"ASN00009021","PERTH AIRPORT, AS","1963-05","225.0","16.5"
"ASN00009021","PERTH AIRPORT, AS","1963-06","230.6","13.6"
"ASN00009021","PERTH AIRPORT, AS","1963-07","186.3","13.4"
"ASN00009021","PERTH AIRPORT, AS","1963-08","185.2","13.7"
"ASN00009021","PERTH AIRPORT, AS","1963-09","76.6","15.5"
"ASN00009021","PERTH AIRPORT, AS","1963-10","36.3","17.9"
"ASN00009021","PERTH AIRPORT, AS","1963-11","4.9","20.5"
"ASN00009021","PERTH AIRPORT, AS","1963-12","0.8","22.6"
"ASN00009021","PERTH AIRPORT, AS","1964-01","0.3","23.7"
"ASN00009021","PERTH AIRPORT, AS","1964-02","6.4","24.0"
"ASN00009021","PERTH AIRPORT, AS","1964-03","6.2","22.5"
"ASN00009021","PERTH AIRPORT, AS","1964-04","71.8","18.1"
"ASN00009021","PERTH AIRPORT, AS","1964-05","15.0","15.3"
"ASN00009021","PERTH AIRPORT, AS","1964-06","318.4","15.7"
"ASN00009021","PERTH AIRPORT, AS","1964-07","248.1","14.1"
"ASN00009021","PERTH AIRPORT, AS","1964-08","164.9","13.6"
"ASN00009021","PERTH AIRPORT, AS","1964-09","95.2","13.7"
"ASN00009021","PERTH AIRPORT, AS","1964-10","69.1","14.6"
"ASN00009021","PERTH AIRPORT, AS","1964-11","8.1","18.0"
"ASN00009021","PERTH AIRPORT, AS","1964-12","29.0","21.1"
"ASN00009021","PERTH AIRPORT, AS","1965-01","2.3","25.1"
"ASN00009021","PERTH AIRPORT, AS","1965-02","1.0","23.6"
"ASN00009021","PERTH AIRPORT, AS","1965-03","8.5","22.8"
"ASN00009021","PERTH AIRPORT, AS","1965-04","21.8","20.4"
"ASN00009021","PERTH AIRPORT, AS","1965-05","144.2","15.6"
"ASN00009021","PERTH AIRPORT, AS","1965-06","217.4","14.2"
"ASN00009021","PERTH AIRPORT, AS","1965-07","150.0","12.6"
"ASN00009021","PERTH AIRPORT, AS","1965-08","173.5","13.2"
"ASN00009021","PERTH AIRPORT, AS","1965-09","66.0","14.2"
"ASN00009021","PERTH AIRPORT, AS","1965-10","103.5","17.4"
"ASN00009021","PERTH AIRPORT, AS","1965-11","50.8","18.8"
"ASN00009021","PERTH AIRPORT, AS","1965-12","24.1","23.4"
